iter	Passed	Remaining
416	2651	3707
417	2658	3700
418	2662	3692
419	2674	3693
420	2678	3683
421	2683	3675
422	2688	3667
423	2693	3658
424	2697	3649
425	2702	3641
426	2707	3633
427	2716	3630
428	2734	3639
429	2739	3631
430	2744	3623
431	2749	3615
432	2754	3607
433	2759	3598
434	2766	3593
435	2770	3584
436	2777	3578
437	2781	3569
438	2787	3562
439	2793	3555
440	2800	3550
441	2804	3541
442	2810	3533
443	2814	3524
444	2819	3516
445	2825	3509
446	2829	3500
447	2834	3492
448	2840	3485
449	2845	3477
450	2851	3470
451	2856	3463
452	2861	3455
453	2866	3447
454	2899	3472
455	2906	3467
456	2913	3461
457	2919	3454
458	2924	3447
459	2929	3438
460	2934	3431
461	2939	3423
462	2944	3415
463	2950	3407
464	2955	3399
465	2959	3391
466	2964	3383
467	2968	3374
468	2973	3366
469	2978	3359
470	2983	3350
471	2987	3341
472	2992	3334
473	2997	3326
474	3001	3317
475	3006	3309
476	3012	3303
477	3017	3294
478	3021	3286
479	3027	3279
480	3031	3271
481	3037	3264
482	3043	3258
483	3048	3250
484	3053	3242
485	3058	3235
486	3063	3227
487	3069	3220
488	3075	3213
489	3080	3206
490	3086	3199
491	3091	3191
492	3095	3183
493	3101	3177
494	3106	3169
495	3112	3162
496	3118	3156
497	3123	3148
498	3128	3141
499	3134	3134
500	3139	3127
501	3144	3119
502	3150	3113
503	3156	3105
504	3161	3098
505	3166	3091
506	3171	3083
507	3176	3076
508	3182	3069
509	3186	3061
510	3191	3053
511	3196	3046
512	3200	3038
513	3206	3031
514	3211	3024
515	3216	3016
516	3220	3008
517	3238	3013
518	3244	3006
519	3248	2998
520	3253	2991
521	3259	2984
522	3264	2977
523	3269	2970
524	3274	2962
525	3284	2959
526	3289	2952
527	3294	2945
528	3299	2937
529	3304	2930
530	3309	2922
531	3313	2915
532	3318	2907
533	3323	2899
534	3327	2891
535	3331	2884
536	3336	2876
537	3342	2870
538	3348	2863
539	3353	2856
540	3358	2849
541	3364	2842
542	3369	2836
543	3374	2828
544	3394	2834
545	3400	2827
546	3405	2820
547	3410	2812
548	3414	2805
549	3419	2797
550	3424	2790
551	3429	2783
552	3434	2775
553	3438	2768
554	3443	2761
555	3448	2753
556	3453	2746
557	3458	2739
558	3467	2735
559	3472	2728
560	3477	2721
561	3482	2713
562	3487	2707
563	3492	2699
564	3497	2692
565	3502	2685
566	3507	2678
567	3511	2671
568	3516	2663
569	3521	2656
570	3525	2648
571	3530	2641
572	3535	2634
573	3540	2627
574	3544	2620
575	3550	2613
576	3554	2606
577	3559	2598
578	3579	2602
579	3583	2595
580	3588	2587
581	3593	2580
582	3608	2580
583	3622	2580
584	3628	2574
585	3636	2569
586	3641	2562
587	3647	2555
588	3651	2548
589	3656	2541
590	3661	2533
591	3665	2526
592	3670	2519
593	3677	2513
594	3681	2506
595	3686	2499
596	3691	2491
597	3695	2484
598	3699	2476
599	3704	2469
600	3708	2462
601	3713	2455
602	3718	2448
603	3722	2440
604	3727	2433
605	3731	2426
606	3736	2419
607	3740	2411
608	3744	2404
609	3750	2397
610	3754	2390
611	3759	2383
612	3764	2376
613	3771	2370
614	3776	2364
615	3781	2357
616	3786	2350
617	3790	2343
618	3796	2336
619	3800	2329
620	3807	2323
621	3812	2317
622	3821	2312
623	3826	2305
624	3830	2298
625	3835	2291
626	3840	2284
627	3845	2278
628	3850	2271
629	3855	2264
