iter	RMSE
426	3194.29433
427	3193.000249
428	3191.221549
429	3189.918863
430	3189.895471
431	3189.117891
432	3188.361399
433	3187.73568
434	3186.710298
435	3185.942655
436	3185.024446
437	3184.071422
438	3182.783671
439	3181.26158
440	3180.740075
441	3180.716103
442	3180.453269
443	3179.785546
444	3178.910362
445	3177.869666
446	3177.213945
447	3176.485563
448	3175.034545
449	3174.150281
450	3172.99356
451	3172.723501
452	3171.609454
453	3169.715414
454	3168.9788
455	3167.862867
456	3167.045744
457	3166.539068
458	3165.615185
459	3164.987694
460	3164.165161
461	3163.190714
462	3161.901505
463	3160.95585
464	3159.872375
465	3158.911852
466	3158.285972
467	3157.07183
468	3156.381854
469	3155.61851
470	3154.823527
471	3154.460643
472	3153.210367
473	3152.362237
474	3151.839769
475	3150.789673
476	3149.74118
477	3149.095559
478	3147.438821
479	3146.862181
480	3146.343426
481	3145.116038
482	3144.12374
483	3143.414248
484	3142.375432
485	3141.591411
486	3140.858752
487	3139.699036
488	3138.397491
489	3137.356248
490	3136.357661
491	3135.952832
492	3135.160474
493	3134.352074
494	3133.516849
495	3132.504253
496	3132.035491
497	3131.188016
498	3130.004247
499	3129.505031
500	3128.368442
501	3127.541174
502	3126.926503
503	3125.806575
504	3124.824212
505	3124.568841
506	3123.944684
507	3123.15511
508	3122.684514
509	3122.666758
510	3121.697403
511	3120.022627
512	3119.223067
513	3118.414515
514	3117.661537
515	3116.312976
516	3116.294765
517	3115.487617
518	3114.822815
519	3113.853398
520	3113.39035
521	3112.49912
522	3111.102504
523	3110.539176
524	3109.345039
525	3108.741884
526	3108.021747
527	3106.64567
528	3105.507189
529	3105.011388
530	3103.832156
531	3103.172101
532	3102.574103
533	3101.62405
534	3101.60679
535	3100.678229
536	3099.950909
537	3099.004525
538	3097.893122
539	3097.50657
540	3096.384713
541	3095.648277
542	3094.702458
543	3094.151062
544	3093.056348
545	3092.040868
546	3091.198826
547	3090.566043
548	3089.838621
549	3089.164693
550	3088.767917
551	3088.127583
552	3087.440808
553	3086.528415
554	3085.657306
555	3084.974756
556	3084.390399
557	3083.538356
558	3082.255143
559	3081.348076
560	3080.738006
561	3079.916389
562	3078.97813
563	3078.045502
564	3077.358728
565	3076.75558
566	3075.803163
567	3074.871677
568	3073.789423
569	3072.347698
570	3071.511871
571	3070.326167
572	3069.301598
573	3068.621552
574	3067.501347
575	3066.7094
576	3065.952325
577	3064.841576
578	3064.079088
579	3063.395947
580	3062.562851
581	3061.787332
582	3061.350498
583	3060.704566
584	3059.692601
585	3059.367518
586	3058.541391
587	3057.349522
588	3056.903527
589	3055.981709
590	3055.591954
591	3054.731359
592	3053.037559
593	3052.231215
594	3051.613931
595	3050.730441
596	3050.237107
597	3049.605565
598	3049.271168
599	3049.25409
600	3048.878338
601	3048.441006
602	3047.923187
603	3047.514625
604	3047.014641
605	3045.794183
606	3045.259235
607	3044.552677
608	3043.881217
609	3042.873565
610	3042.237735
611	3041.81305
612	3040.693517
613	3040.063889
614	3039.404854
615	3038.511141
616	3037.866181
617	3037.383842
618	3036.950973
619	3035.861792
620	3035.163936
621	3034.457292
622	3033.143825
623	3032.646292
624	3031.825059
625	3031.295795
626	3030.487256
627	3029.912066
628	3029.386635
629	3028.544837
630	3028.063179
631	3027.403939
632	3026.837466
633	3025.945595
634	3024.973995
635	3024.227095
636	3023.334705
637	3022.351204
638	3021.649409
639	3021.01684
640	3020.588165
641	3019.970781
642	3019.046289
643	3018.351703
644	3017.81274
645	3017.797186
646	3016.809388
647	3016.071635
648	3015.337583
649	3014.870142
650	3014.340863
651	3013.976014
652	3013.362265
653	3012.45671
654	3011.697622
655	3011.242981
656	3010.460729
657	3009.76496
658	3008.914819
659	3007.836039
660	3006.800918
661	3006.165299
662	3005.732334
663	3005.212682
664	3004.269058
665	3003.801608
666	3003.334193
667	3002.721092
668	3002.157699
669	3001.859849
670	3001.314238
671	3000.680895
672	2999.90947
673	2998.737311
674	2998.145048
675	2997.376213
676	2996.996254
677	2996.863598
678	2996.472774
679	2995.952506
680	2995.170579
681	2994.957829
682	2994.54257
683	2993.732569
684	2992.848675
685	2992.14334
686	2991.738797
687	2990.983932
688	2990.288677
689	2989.485404
690	2988.563911
691	2987.814453
692	2987.169826
693	2986.784957
694	2986.321686
695	2985.730269
696	2985.223472
697	2984.515029
698	2984.073259
699	2983.662515
700	2982.706642
701	2981.977253
702	2981.287894
703	2980.95879
704	2980.373288
705	2980.022122
706	2979.251771
707	2979.033779
708	2978.661667
709	2977.851393
710	2977.33769
711	2976.50705
712	2975.80341
713	2975.459776
714	2974.636035
715	2973.815549
716	2973.135576
717	2972.503483
718	2971.544108
719	2971.005292
720	2970.340283
721	2969.484774
722	2968.999733
723	2968.582729
724	2968.076742
725	2967.303813
726	2966.882794
727	2966.449831
728	2966.154317
729	2965.633812
730	2965.000687
731	2964.232984
732	2963.758252
733	2962.978844
734	2962.399173
735	2962.202249
736	2961.538948
737	2961.031634
738	2960.368817
739	2959.737223
740	2959.255466
741	2958.752161
742	2958.149137
743	2957.67434
744	2957.039399
745	2956.428284
746	2955.314396
747	2955.262991
748	2953.913987
749	2953.395481
750	2952.761466
751	2952.297404
752	2951.585491
753	2950.849772
754	2950.24576
755	2949.927082
756	2949.008598
757	2948.322568
758	2947.743536
759	2947.198961
760	2946.659778
761	2946.023386
762	2945.22376
763	2944.783355
764	2943.942551
765	2943.453409
766	2942.772549
767	2942.035716
768	2941.466312
769	2940.877932
770	2940.032174
771	2939.305026
772	2938.737974
773	2938.228178
774	2937.692144
775	2937.211881
776	2936.917982
777	2936.333336
778	2935.70508
779	2934.714306
780	2934.102776
781	2933.698277
782	2933.04333
783	2932.249048
784	2931.558691
785	2930.942263
786	2930.475778
787	2930.106439
788	2929.439284
789	2928.950408
790	2928.584383
791	2928.020707
792	2927.353769
793	2926.905876
794	2925.955657
795	2925.137864
796	2924.550642
797	2924.171556
798	2923.552621
799	2923.204351
800	2922.517833
801	2921.689488
802	2920.968357
803	2920.300739
804	2920.179039
805	2919.708212
806	2919.185021
807	2918.617155
808	2918.326745
809	2918.0344
810	2917.470094
811	2916.945108
812	2916.466622
813	2916.242766
814	2915.840401
815	2915.349539
816	2914.717955
817	2914.165307
818	2913.629972
819	2913.529525
820	2912.831136
821	2912.462671
822	2911.950722
823	2911.692981
824	2910.920766
825	2910.180668
826	2909.866893
827	2909.399703
828	2909.140413
829	2908.770692
830	2908.232669
831	2907.544698
832	2906.815901
833	2906.204324
834	2905.793703
835	2905.29471
836	2904.752132
837	2904.00022
838	2903.341371
839	2902.872303
840	2902.165805
841	2901.622938
842	2901.092845
843	2900.894138
844	2900.089806
845	2899.581479
846	2899.121245
847	2898.326527
848	2897.702096
849	2897.335624
850	2896.582547
851	2895.881542
852	2895.396787
853	2894.801887
854	2893.942958
855	2893.599512
856	2893.018548
857	2892.678762
858	2892.158121
859	2891.289592
860	2890.676768
861	2890.098367
862	2889.619567
863	2889.189132
864	2888.491865
865	2888.103746
866	2887.626718
867	2887.595505
868	2886.878306
869	2886.2856
870	2885.417668
871	2884.902094
872	2883.905431
873	2883.803206
874	2883.328556
875	2883.038818
876	2882.658811
877	2881.923192
878	2881.493487
879	2881.035193
880	2880.721767
881	2880.280073
882	2879.760757
883	2879.179407
884	2878.5767
885	2877.976964
886	2877.937187
887	2877.388737
888	2876.929895
889	2876.680185
890	2876.411704
891	2875.906975
892	2875.507566
893	2874.991481
894	2874.501846
895	2874.090404
896	2873.497015
897	2873.369206
898	2873.072146
899	2872.478088
900	2871.884979
901	2871.699213
902	2871.151488
903	2870.668925
904	2870.006835
905	2869.667667
906	2869.011961
907	2867.916642
908	2867.277753
909	2866.630671
910	2865.912066
911	2865.457456
912	2864.451621
913	2863.885721
914	2863.369532
915	2862.792523
916	2862.734693
917	2861.924407
918	2861.349493
919	2860.68929
920	2860.676126
921	2860.303943
922	2860.094422
923	2859.6047
924	2859.401679
925	2858.856575
926	2857.791756
927	2857.32324
928	2856.783455
929	2856.273755
930	2855.718478
931	2855.354191
932	2855.092365
933	2854.599333
934	2853.987852
935	2853.416354
936	2852.909318
937	2852.529387
938	2852.156101
939	2851.658331
940	2851.297829
941	2850.748467
942	2850.401121
943	2849.555825
944	2848.749375
945	2848.407459
946	2848.343394
947	2847.7224
948	2847.260183
949	2846.814645
950	2846.644934
951	2845.73876
952	2845.440695
953	2844.841347
954	2844.270938
955	2844.118995
956	2843.553651
957	2843.133027
958	2842.387305
959	2841.882129
960	2841.535011
961	2841.204895
962	2840.827261
963	2840.418325
964	2839.738358
965	2839.215362
966	2838.508943
967	2837.713405
968	2837.167641
969	2836.404898
970	2835.782546
971	2835.461969
972	2834.81192
973	2833.938066
974	2833.308183
975	2832.926537
976	2832.649466
977	2832.178298
978	2831.624094
979	2831.323254
980	2830.98449
981	2830.489009
982	2830.137143
983	2829.477464
984	2829.142905
985	2828.62554
986	2828.337755
987	2828.085595
988	2827.718479
989	2827.144791
990	2826.70178
991	2826.242703
992	2825.81044
993	2825.362181
994	2824.996916
995	2824.326266
996	2823.956523
997	2823.892924
998	2823.440714
999	2823.053589
